X1,Y1,Frames,ONX1,ONY1,Frames2
42.908,340.86,1,NaN,NaN,1
42.987,341,2,NaN,NaN,2
43.05,340.98,3,NaN,NaN,3
43.046,341.34,4,NaN,NaN,4
43.278,342,5,NaN,NaN,5
43.312,341.74,6,NaN,NaN,6
43.673,342.88,7,NaN,NaN,7
42.866,340.87,8,NaN,NaN,8
43.485,342.22,9,NaN,NaN,9
42.897,341.15,10,NaN,NaN,10
43.406,342.28,11,NaN,NaN,11
42.764,340.42,12,NaN,NaN,12
42.986,341.25,13,NaN,NaN,13
42.959,341.09,14,NaN,NaN,14
42.697,340.61,15,NaN,NaN,15
43.579,342.53,16,NaN,NaN,16
42.769,340.74,17,NaN,NaN,17
43.4,342.29,18,NaN,NaN,18
42.675,340.59,19,NaN,NaN,19
42.788,340.79,20,NaN,NaN,20
43.148,341.42,21,NaN,NaN,21
43.234,341.9,22,NaN,NaN,22
43.573,342.88,23,NaN,NaN,23
42.628,340.33,24,NaN,NaN,24
43.112,341.98,25,NaN,NaN,25
43.179,342.07,26,NaN,NaN,26
42.922,341.48,27,NaN,NaN,27
43.182,342.05,28,NaN,NaN,28
42.526,340.4,29,NaN,NaN,29
43.195,342.39,30,NaN,NaN,30
42.766,341.01,31,NaN,NaN,31
42.792,341.17,32,NaN,NaN,32
43.104,342.04,33,NaN,NaN,33
43.141,342.17,34,NaN,NaN,34
43.141,342.17,35,NaN,NaN,35
43.114,342.04,36,NaN,NaN,36
43.114,342.04,37,NaN,NaN,37
43.114,342.04,38,NaN,NaN,38
43.114,342.04,39,NaN,NaN,39
43.114,342.04,40,NaN,NaN,40
42.883,341.6,41,NaN,NaN,41
42.597,341.03,42,NaN,NaN,42
42.653,341.29,43,NaN,NaN,43
42.653,341.29,44,NaN,NaN,44
42.716,341.02,45,NaN,NaN,45
42.792,341.34,46,NaN,NaN,46
43.139,342,47,NaN,NaN,47
42.776,341.39,48,NaN,NaN,48
42.806,341.4,49,NaN,NaN,49
42.806,341.4,50,NaN,NaN,50
42.772,341.33,51,NaN,NaN,51
42.875,341.8,52,NaN,NaN,52
42.913,341.73,53,NaN,NaN,53
42.915,341.61,54,NaN,NaN,54
42.915,341.61,55,NaN,NaN,55
42.915,341.61,56,NaN,NaN,56
42.915,341.61,57,NaN,NaN,57
42.915,341.61,58,NaN,NaN,58
42.915,341.61,59,NaN,NaN,59
42.915,341.61,60,NaN,NaN,60
42.951,341.73,61,NaN,NaN,61
42.951,341.73,62,NaN,NaN,62
42.951,341.73,63,NaN,NaN,63
42.951,341.73,64,NaN,NaN,64
42.951,341.73,65,NaN,NaN,65
42.915,341.61,66,NaN,NaN,66
42.915,341.61,67,NaN,NaN,67
42.889,341.62,68,NaN,NaN,68
42.889,341.62,69,NaN,NaN,69
42.889,341.62,70,NaN,NaN,70
42.875,341.69,71,NaN,NaN,71
42.875,341.69,72,NaN,NaN,72
42.875,341.69,73,NaN,NaN,73
42.875,341.69,74,NaN,NaN,74
42.875,341.69,75,NaN,NaN,75
42.875,341.69,76,NaN,NaN,76
42.875,341.69,77,NaN,NaN,77
42.901,341.68,78,NaN,NaN,78
42.901,341.68,79,NaN,NaN,79
42.901,341.68,80,NaN,NaN,80
42.873,341.59,81,NaN,NaN,81
42.937,341.58,82,NaN,NaN,82
43,341.93,83,NaN,NaN,83
43,341.78,84,NaN,NaN,84
42.692,341.24,85,NaN,NaN,85
43.029,342.14,86,NaN,NaN,86
42.697,341.09,87,NaN,NaN,87
43.026,342.28,88,NaN,NaN,88
42.487,340.17,89,NaN,NaN,89
42.823,341.58,90,NaN,NaN,90
42.608,340.8,91,NaN,NaN,91
43.026,342.28,92,NaN,NaN,92
42.843,341.6,93,NaN,NaN,93
42.553,340.53,94,NaN,NaN,94
42.773,341.29,95,NaN,NaN,95
42.91,341.73,96,NaN,NaN,96
42.91,341.73,97,NaN,NaN,97
42.91,341.73,98,NaN,NaN,98
42.91,341.73,99,NaN,NaN,99
42.873,341.71,100,NaN,NaN,100
42.873,341.71,101,NaN,NaN,101
42.837,341.59,102,NaN,NaN,102
42.837,341.59,103,NaN,NaN,103
42.837,341.59,104,NaN,NaN,104
42.837,341.59,105,NaN,NaN,105
42.837,341.59,106,NaN,NaN,106
42.862,341.71,107,NaN,NaN,107
42.821,341.46,108,NaN,NaN,108
42.864,341.54,109,NaN,NaN,109
42.783,341.22,110,NaN,NaN,110
42.688,341.25,111,NaN,NaN,111
42.679,341.64,112,NaN,NaN,112
42.716,341.47,113,NaN,NaN,113
42.566,341.22,114,NaN,NaN,114
42.705,341.53,115,NaN,NaN,115
42.558,341.3,116,NaN,NaN,116
42.816,342.38,117,NaN,NaN,117
42.636,341.55,118,NaN,NaN,118
42.662,341.78,119,NaN,NaN,119
42.705,341.87,120,NaN,NaN,120
42.709,341.77,121,NaN,NaN,121
42.816,342.38,122,NaN,NaN,122
42.773,342.29,123,NaN,NaN,123
42.662,341.78,124,NaN,NaN,124
42.618,341.67,125,NaN,NaN,125
42.707,342.21,126,NaN,NaN,126
42.58,341.73,127,NaN,NaN,127
42.513,341.29,128,NaN,NaN,128
42.544,341.35,129,NaN,NaN,129
42.139,340.37,130,NaN,NaN,130
42.833,342.81,131,NaN,NaN,131
42.405,341.19,132,NaN,NaN,132
42.714,342.3,133,NaN,NaN,133
42.362,341.26,134,NaN,NaN,134
42.372,341.32,135,NaN,NaN,135
42.541,341.27,136,NaN,NaN,136
42.595,341.77,137,NaN,NaN,137
42.6,341.88,138,NaN,NaN,138
42.6,341.88,139,NaN,NaN,139
42.6,341.88,140,NaN,NaN,140
42.6,341.88,141,NaN,NaN,141
42.6,341.88,142,NaN,NaN,142
42.592,341.76,143,NaN,NaN,143
42.592,341.76,144,NaN,NaN,144
42.592,341.76,145,NaN,NaN,145
42.571,341.79,146,NaN,NaN,146
42.571,341.79,147,NaN,NaN,147
42.571,341.79,148,NaN,NaN,148
42.436,341.37,149,NaN,NaN,149
42.513,341.69,150,NaN,NaN,150
42.342,341.2,151,NaN,NaN,151
42.321,341.32,152,NaN,NaN,152
42.321,341.32,153,NaN,NaN,153
42.413,341.48,154,NaN,NaN,154
42.597,342.04,155,NaN,NaN,155
42.486,341.51,156,NaN,NaN,156
42.486,341.51,157,NaN,NaN,157
42.461,341.58,158,NaN,NaN,158
42.493,341.59,159,NaN,NaN,159
42.493,341.59,160,NaN,NaN,160
42.487,341.47,161,NaN,NaN,161
42.519,341.49,162,NaN,NaN,162
42.493,341.59,163,NaN,NaN,163
42.438,341.16,164,NaN,NaN,164
42.553,341.54,165,NaN,NaN,165
42.632,342.05,166,NaN,NaN,166
42.579,341.79,167,NaN,NaN,167
42.579,341.79,168,NaN,NaN,168
42.579,341.79,169,NaN,NaN,169
42.579,341.79,170,NaN,NaN,170
42.547,341.77,171,NaN,NaN,171
42.547,341.77,172,NaN,NaN,172
42.547,341.77,173,NaN,NaN,173
42.547,341.77,174,NaN,NaN,174
42.547,341.77,175,NaN,NaN,175
42.579,341.79,176,NaN,NaN,176
42.579,341.79,177,NaN,NaN,177
42.579,341.79,178,NaN,NaN,178
42.579,341.79,179,NaN,NaN,179
42.579,341.79,180,NaN,NaN,180
42.579,341.79,181,NaN,NaN,181
42.579,341.79,182,NaN,NaN,182
42.579,341.79,183,NaN,NaN,183
42.579,341.79,184,NaN,NaN,184
42.579,341.79,185,NaN,NaN,185
42.579,341.79,186,NaN,NaN,186
42.579,341.79,187,NaN,NaN,187
42.579,341.79,188,NaN,NaN,188
42.579,341.79,189,NaN,NaN,189
42.579,341.79,190,NaN,NaN,190
42.579,341.79,191,NaN,NaN,191
42.61,341.92,192,NaN,NaN,192
42.61,341.92,193,NaN,NaN,193
42.61,341.92,194,NaN,NaN,194
42.61,341.92,195,NaN,NaN,195
42.61,341.92,196,NaN,NaN,196
42.61,341.92,197,NaN,NaN,197
41.974,341.62,198,NaN,NaN,198
42.221,342.64,199,NaN,NaN,199
41.913,342.09,200,NaN,NaN,200
41.889,342.6,201,NaN,NaN,201
41.471,341.64,202,NaN,NaN,202
41.877,342.37,203,NaN,NaN,203
41.218,340.91,204,NaN,NaN,204
41.718,342.17,205,NaN,NaN,205
41.553,341.33,206,NaN,NaN,206
41.553,341.33,207,NaN,NaN,207
41.63,341.33,208,NaN,NaN,208
41.882,342.33,209,NaN,NaN,209
41.731,342.33,210,NaN,NaN,210
41.526,341.32,211,NaN,NaN,211
42.013,342.94,212,NaN,NaN,212
41.367,341.29,213,NaN,NaN,213
41.727,341.56,214,NaN,NaN,214
41.753,341.79,215,NaN,NaN,215
41.867,342.31,216,NaN,NaN,216
41.867,342.31,217,NaN,NaN,217
41.867,342.31,218,NaN,NaN,218
41.867,342.31,219,NaN,NaN,219
41.867,342.31,220,NaN,NaN,220
41.867,342.31,221,NaN,NaN,221
41.867,342.31,222,NaN,NaN,222
41.697,342.03,223,NaN,NaN,223
41.528,341.38,224,NaN,NaN,224
41.579,341.66,225,NaN,NaN,225
41.533,341.51,226,NaN,NaN,226
41.587,341.56,227,NaN,NaN,227
41.541,341.18,228,NaN,NaN,228
41.711,342.25,229,NaN,NaN,229
41.658,341.61,230,NaN,NaN,230
41.91,342.58,231,NaN,NaN,231
41.613,341.75,232,NaN,NaN,232
41.74,342.43,233,NaN,NaN,233
41.714,341.99,234,NaN,NaN,234
41.731,342.17,235,NaN,NaN,235
41.684,342.1,236,NaN,NaN,236
41.789,342.18,237,NaN,NaN,237
41.789,342.18,238,NaN,NaN,238
41.827,342.32,239,NaN,NaN,239
41.632,341.39,240,NaN,NaN,240
41.756,341.94,241,NaN,NaN,241
41.789,342.18,242,NaN,NaN,242
41.779,342.25,243,NaN,NaN,243
41.821,342.32,244,NaN,NaN,244
41.821,342.32,245,NaN,NaN,245
41.821,342.32,246,NaN,NaN,246
41.821,342.32,247,NaN,NaN,247
41.821,342.32,248,NaN,NaN,248
41.821,342.32,249,NaN,NaN,249
41.821,342.32,250,NaN,NaN,250
41.821,342.32,251,NaN,NaN,251
41.821,342.32,252,NaN,NaN,252
41.821,342.32,253,NaN,NaN,253
41.821,342.32,254,NaN,NaN,254
41.821,342.32,255,NaN,NaN,255
41.821,342.32,256,NaN,NaN,256
41.821,342.32,257,NaN,NaN,257
41.779,342.19,258,NaN,NaN,258
41.779,342.19,259,NaN,NaN,259
41.779,342.19,260,NaN,NaN,260
41.714,341.7,261,NaN,NaN,261
41.837,341.85,262,NaN,NaN,262
41.775,341.59,263,NaN,NaN,263
41.727,341.74,264,NaN,NaN,264
41.714,341.7,265,NaN,NaN,265
41.87,342.51,266,NaN,NaN,266
41.87,342.51,267,NaN,NaN,267
41.714,341.81,268,NaN,NaN,268
41.759,341.84,269,NaN,NaN,269
41.816,342.2,270,NaN,NaN,270
41.782,341.96,271,NaN,NaN,271
41.818,342.09,272,NaN,NaN,272
41.808,342.15,273,NaN,NaN,273
41.808,342.15,274,NaN,NaN,274
41.772,342.03,275,NaN,NaN,275
41.772,342.03,276,NaN,NaN,276
41.747,342,277,NaN,NaN,277
41.632,341.39,278,NaN,NaN,278
41.684,341.67,279,NaN,NaN,279
41.868,342.39,280,NaN,NaN,280
41.868,342.39,281,NaN,NaN,281
41.868,342.39,282,NaN,NaN,282
41.868,342.39,283,NaN,NaN,283
41.868,342.39,284,NaN,NaN,284
41.868,342.39,285,NaN,NaN,285
41.868,342.39,286,NaN,NaN,286
41.868,342.39,287,NaN,NaN,287
41.868,342.39,288,NaN,NaN,288
41.868,342.39,289,NaN,NaN,289
41.868,342.39,290,NaN,NaN,290
41.868,342.39,291,NaN,NaN,291
41.868,342.39,292,NaN,NaN,292
41.868,342.39,293,NaN,NaN,293
41.868,342.39,294,NaN,NaN,294
41.868,342.39,295,NaN,NaN,295
41.868,342.39,296,NaN,NaN,296
41.868,342.39,297,NaN,NaN,297
41.868,342.39,298,NaN,NaN,298
41.868,342.39,299,NaN,NaN,299
41.868,342.39,300,NaN,NaN,300
41.763,342.29,301,NaN,NaN,301
41.763,342.29,302,NaN,NaN,302
41.763,342.29,303,NaN,NaN,303
41.763,342.29,304,NaN,NaN,304
41.763,342.29,305,NaN,NaN,305
41.763,342.29,306,NaN,NaN,306
41.763,342.29,307,NaN,NaN,307
41.763,342.29,308,NaN,NaN,308
41.763,342.29,309,NaN,NaN,309
41.763,342.29,310,NaN,NaN,310
41.763,342.29,311,NaN,NaN,311
41.763,342.29,312,NaN,NaN,312
41.763,342.29,313,NaN,NaN,313
41.763,342.29,314,NaN,NaN,314
41.763,342.29,315,NaN,NaN,315
41.763,342.29,316,NaN,NaN,316
41.763,342.29,317,NaN,NaN,317
41.763,342.29,318,NaN,NaN,318
41.763,342.29,319,NaN,NaN,319
41.763,342.29,320,NaN,NaN,320
41.763,342.29,321,NaN,NaN,321
41.763,342.29,322,NaN,NaN,322
41.763,342.29,323,NaN,NaN,323
41.763,342.29,324,NaN,NaN,324
41.763,342.29,325,NaN,NaN,325
41.763,342.29,326,NaN,NaN,326
41.763,342.29,327,NaN,NaN,327
41.763,342.29,328,NaN,NaN,328
41.763,342.29,329,NaN,NaN,329
41.763,342.29,330,NaN,NaN,330
41.763,342.29,331,NaN,NaN,331
41.763,342.29,332,NaN,NaN,332
41.763,342.29,333,NaN,NaN,333
41.763,342.29,334,NaN,NaN,334
41.763,342.29,335,NaN,NaN,335
41.763,342.29,336,NaN,NaN,336
41.763,342.29,337,NaN,NaN,337
41.763,342.29,338,NaN,NaN,338
41.773,342.23,339,NaN,NaN,339
41.773,342.23,340,NaN,NaN,340
41.773,342.23,341,NaN,NaN,341
41.773,342.23,342,NaN,NaN,342
41.773,342.23,343,NaN,NaN,343
41.773,342.23,344,NaN,NaN,344
41.773,342.23,345,NaN,NaN,345
41.773,342.23,346,NaN,NaN,346
41.773,342.23,347,NaN,NaN,347
41.773,342.23,348,NaN,NaN,348
41.773,342.23,349,NaN,NaN,349
41.773,342.23,350,NaN,NaN,350
41.773,342.23,351,NaN,NaN,351
41.773,342.23,352,NaN,NaN,352
41.773,342.23,353,NaN,NaN,353
41.773,342.23,354,NaN,NaN,354
41.773,342.23,355,NaN,NaN,355
41.773,342.23,356,NaN,NaN,356
41.773,342.23,357,NaN,NaN,357
41.773,342.23,358,NaN,NaN,358
41.773,342.23,359,NaN,NaN,359
41.773,342.23,360,NaN,NaN,360
41.773,342.23,361,NaN,NaN,361
41.773,342.23,362,NaN,NaN,362
41.773,342.23,363,NaN,NaN,363
41.773,342.23,364,NaN,NaN,364
41.773,342.23,365,NaN,NaN,365
41.773,342.23,366,NaN,NaN,366
41.773,342.23,367,NaN,NaN,367
41.773,342.23,368,NaN,NaN,368
41.773,342.23,369,NaN,NaN,369
41.773,342.23,370,NaN,NaN,370
41.773,342.23,371,NaN,NaN,371
41.773,342.23,372,NaN,NaN,372
41.773,342.23,373,NaN,NaN,373
41.773,342.23,374,NaN,NaN,374
41.773,342.23,375,NaN,NaN,375
41.773,342.23,376,NaN,NaN,376
41.773,342.23,377,NaN,NaN,377
41.773,342.23,378,NaN,NaN,378
41.773,342.23,379,NaN,NaN,379
41.773,342.23,380,NaN,NaN,380
41.773,342.23,381,NaN,NaN,381
41.773,342.23,382,NaN,NaN,382
41.773,342.23,383,NaN,NaN,383
41.773,342.23,384,NaN,NaN,384
41.811,342.36,385,NaN,NaN,385
41.811,342.36,386,NaN,NaN,386
41.811,342.36,387,NaN,NaN,387
41.773,342.23,388,NaN,NaN,388
41.811,342.36,389,NaN,NaN,389
41.811,342.36,390,NaN,NaN,390
41.811,342.36,391,NaN,NaN,391
41.763,342.29,392,NaN,NaN,392
41.773,342.23,393,NaN,NaN,393
41.773,342.23,394,NaN,NaN,394
41.773,342.23,395,NaN,NaN,395
41.773,342.23,396,NaN,NaN,396
41.773,342.23,397,NaN,NaN,397
41.773,342.23,398,NaN,NaN,398
41.773,342.23,399,NaN,NaN,399
41.773,342.23,400,NaN,NaN,400
41.773,342.23,401,NaN,NaN,401
41.773,342.23,402,NaN,NaN,402
41.773,342.23,403,NaN,NaN,403
41.773,342.23,404,NaN,NaN,404
41.773,342.23,405,NaN,NaN,405
41.773,342.23,406,NaN,NaN,406
41.773,342.23,407,NaN,NaN,407
41.773,342.23,408,NaN,NaN,408
41.773,342.23,409,NaN,NaN,409
41.773,342.23,410,NaN,NaN,410
41.773,342.23,411,NaN,NaN,411
41.773,342.23,412,NaN,NaN,412
41.773,342.23,413,NaN,NaN,413
41.773,342.23,414,NaN,NaN,414
41.773,342.23,415,NaN,NaN,415
41.773,342.23,416,NaN,NaN,416
41.773,342.23,417,NaN,NaN,417
41.773,342.23,418,NaN,NaN,418
41.773,342.23,419,NaN,NaN,419
41.773,342.23,420,NaN,NaN,420
41.773,342.23,421,NaN,NaN,421
41.773,342.23,422,NaN,NaN,422
41.773,342.23,423,NaN,NaN,423
41.773,342.23,424,NaN,NaN,424
41.773,342.23,425,NaN,NaN,425
41.773,342.23,426,NaN,NaN,426
41.773,342.23,427,NaN,NaN,427
41.773,342.23,428,NaN,NaN,428
41.773,342.23,429,NaN,NaN,429
41.773,342.23,430,NaN,NaN,430
41.773,342.23,431,NaN,NaN,431
41.773,342.23,432,NaN,NaN,432
41.773,342.23,433,NaN,NaN,433
41.773,342.23,434,NaN,NaN,434
41.773,342.23,435,NaN,NaN,435
41.773,342.23,436,NaN,NaN,436
41.773,342.23,437,NaN,NaN,437
41.773,342.23,438,NaN,NaN,438
41.773,342.23,439,NaN,NaN,439
41.773,342.23,440,NaN,NaN,440
41.773,342.23,441,NaN,NaN,441
41.773,342.23,442,NaN,NaN,442
41.773,342.23,443,NaN,NaN,443
41.773,342.23,444,NaN,NaN,444
41.773,342.23,445,NaN,NaN,445
41.773,342.23,446,NaN,NaN,446
41.773,342.23,447,NaN,NaN,447
41.773,342.23,448,NaN,NaN,448
41.773,342.23,449,NaN,NaN,449
41.773,342.23,450,NaN,NaN,450
41.773,342.23,451,NaN,NaN,451
41.773,342.23,452,NaN,NaN,452
41.773,342.23,453,NaN,NaN,453
41.773,342.23,454,NaN,NaN,454
41.773,342.23,455,NaN,NaN,455
41.773,342.23,456,NaN,NaN,456
41.773,342.23,457,NaN,NaN,457
41.773,342.23,458,NaN,NaN,458
41.773,342.23,459,NaN,NaN,459
